year,state,rate,data_value
2019,Al,55.6,NA
2019,Ak,30.4,NA
2019,Az,38.1,NA
2019,Ar,60.2,NA
2019,Ca,29,NA
2019,Co,40.8,NA
2019,Ct,27.8,NA
2019,De,35.2,NA
2019,Fl,35,NA
2019,Ga,42.1,NA
2019,Hi,17.6,NA
2019,Id,47.5,NA
2019,Il,35,NA
2019,In,56.1,NA
2019,Ia,43.8,NA
2019,Ks,48,NA
2019,Ky,62.4,NA
2019,La,38.6,NA
2019,Me,48.3,NA
2019,Md,29.2,NA
2019,Ma,31.2,NA
2019,Mi,43.4,NA
2019,Mn,32,NA
2019,Ms,56.8,NA
2019,Mo,46.7,NA
2019,Mt,50.8,NA
2019,Ne,46.1,NA
2019,Nv,47.3,NA
2019,Nh,39.2,NA
2019,Nj,26.3,NA
2019,Nm,40.1,NA
2019,Ny,27.5,NA
2019,Nc,41.5,NA
2019,Nd,35,NA
2019,Oh,45.9,NA
2019,Ok,62.4,NA
2019,Or,37.9,NA
2019,Pa,34.2,NA
2019,Ri,34,NA
2019,Sc,43.1,NA
2019,Sd,45.1,NA
2019,Tn,53.2,NA
2019,Tx,38.6,NA
2019,Ut,31.1,NA
2019,Vt,36.9,NA
2019,Va,35.8,NA
2019,Wa,33.9,NA
2019,Wv,62,NA
2019,Wi,36.7,NA
2019,Wy,51.7,NA
